一日目
紐が切れる,ひもがきれる,the string breaks,紐が切れてしまった,the string broke
太陽に雲がかかる,たいようにくもがかかる,clouds cover the sun,太陽に雲がかかって日が隠れた,Clouds covered the sun hiding the sunlight.
エンジンがかかる,えんじんがかかる,the engine starts,車のエンジンがかかると、出発できる,Once the car's engine starts we can depart.
エンジンをかける,えんじんをかける,to start the engine,車のエンジンをかけてください,Please start the car's engine.
優勝がかかる,ゆうしょうがかかる,to be at stake for victory,試合で優勝がかかっている,The championship is at stake in the game.
壁に絵をかける,かべにえをかける,to hang a picture on the wall,リビングの壁に絵をかける,Hang a picture on the living room wall.
腰をかける,こしをかける,to sit down,椅子に腰をかけて休む,Sit down on the chair and take a rest.
橋をかける,はしをかける,to build a bridge,川に新しい橋をかける計画がある,There are plans to build a new bridge over the river.
橋がかかる,はしがかかる,to have a bridge,この川には美しい橋がかかっている,There is a beautiful bridge over this river.
犬にブラシをかける,いぬにぶらしをかける,to brush a dog,犬に毛づくろいでブラシをかける,Brush the dog's fur with a brush during grooming.
植木に水をかける,うえきにみずをかける,to water the plants,庭の植木に水をかける,Water the plants in the garden.
水がかかる,みずがかかる,to be splashed with water,プールで水がかかっても平気です,I don't mind being splashed with water in the pool.
体重をかける,たいじゅうをかける,to put one's weight on,椅子に座って体重をかける,Sit on the chair and put your weight on it.
命をかける,いのちをかける,to risk one's life,大切な目標のために命をかける,Risking one's life for an important goal.
保険をかける,ほけんをかける,to take out insurance,旅行前に健康保険をかけることが重要です,Taking out travel insurance is important before a trip.
火にかける,ひにかける,to cook over a fire,鍋に材料を入れて火にかける,Cook the ingredients in a pot over a fire.
金メダルを取る,きんメダルをとる,to win a gold medal,彼はオリンピックで金メダルを取った,He won a gold medal at the Olympics.
記録を取る,きろくをとる,to set a record,新しい記録を取ることができた,We were able to set a new record.
場所を取る,ばしょをとる,to secure a place,コンサートの前に良い場所を取りたい,I want to secure a good spot before the concert.
責任を取る,せきにんをとる,to take responsibility,失敗したら責任を取る覚悟が必要だ,Being prepared to take responsibility is necessary in case of failure.
時間を取る,じかんをとる,to take time,仕事に十分な時間を取ることが大切だ,Taking enough time for work is important.
機嫌を取る,きげんをとる,to appease,上司の機嫌を取る方法を知っておくと良い,It's good to know how to appease the boss.
太事を取る,たいじをとる,to take a thick stake,ステーキを食べるときは太い肉を取る,I choose a thick cut of meat when eating steak.
税金を取られる,ぜいきんをとられる,to have taxes taken,給料から税金が取られる,Income tax is deducted from the salary.
ハンドルを取られる,ハンドルをとられる,to lose control of the steering wheel,雪道でハンドルを取られてしまった,I lost control of the steering wheel on the snowy road.
疲れが取れる,つかれがとれる,to get rid of fatigue,ゆっくり休んで疲れが取れた,I took a good rest and my fatigue was relieved.
身長が伸びる,しんちょうがのびる,to grow taller,成長期になると身長が伸びる,During the growth period one's height grows.
売り上げが伸びる,うりあげがのびる,to increase sales,新商品の導入で売り上げが伸びた,The introduction of a new product increased sales.
売り上げを伸ばす,うりあげをのばす,to boost sales,マーケティング戦略を使って売り上げを伸ばす,Utilize marketing strategies to boost sales.
ゴムが伸びる,ごむがのびる,the rubber stretches,ゴムを引っ張るとゴムが伸びる,When you stretch rubber it stretches.
そばが伸びる,そばがのびる,soba noodles stretch,そばを手で伸ばして蕎麦が伸びる,Soba noodles stretch when stretched by hand.
髪を伸ばす,かみをのばす,to grow hair,最近髪を伸ばしている,I've been growing my hair out recently.
髪が伸びる,かみがのびる,hair grows,髪が健康なら自然に伸びる,Hair naturally grows when it's healthy.
アンテナを伸ばす,あんてなをのばす,to extend the antenna,受信の良さのためにアンテナを伸ばす,Extend the antenna for better reception.
しわを伸ばす,しわをのばす,to smooth out wrinkles,美容液を使ってしわを伸ばす,Use beauty serum to smooth out wrinkles.
しわが伸びる,しわがのびる,wrinkles stretch,しわが伸びた服をアイロンで整える,Iron out clothes with stretched wrinkles.
才能を伸ばす,さいのうをのばす,to develop talent,若者の才能を伸ばすためのプログラムが開催された,A program was held to develop the talents of young people.

三日目
軽いけが,かるいけが,minor injury,サッカーの試合で軽いけがをした,I got a minor injury during the soccer match.
被害は軽い,ひがいはかるい,damage is light,地震の被害は軽い,The damage from the earthquake is light.
軽く運動する,かるくうんどうする,to exercise lightly,毎朝軽く運動することが習慣になっている,Exercising lightly every morning has become a habit.
軽い罪,かるいつみ,minor offense,軽い罪を犯すことはないように心掛ける,I strive not to commit minor offenses.
気持ちが軽い,きもちがかるい,feeling light-hearted,良いニュースを聞いて気持ちが軽い,Feeling light-hearted after hearing good news.
負担が軽い,ふたんがかるい,light burden,新しいプロジェクトは負担が軽い,The new project has a light burden.
口が軽い,くちがかるい,talkative,口が軽い人は情報を漏らしやすい,Talkative people are prone to leaking information.
軽い気持ち,かるいきもち,casual feelings,軽い気持ちで参加したイベントが楽しかった,The event I casually attended was enjoyable.
体が軽い,からだがかるい,feeling light physically,運動後、体が軽い気分だ,My body feels light after excerising.
暗い夜道,くらいよみち,dark night road,暗い夜道を歩くのは怖い,I'm afraid to walk on a dark night road.
暗い色,くらいいろ,dark color,彼女は暗い色の服が好きだ,She likes dark-colored clothes.
暗い声,くらいこえ,low voice,彼は暗い声で話す,He speaks with a low voice.
見通しは暗い,みとおしはくらい,outlook is gloomy,将来の見通しは暗い,The future outlook is gloomy.
暗い過去,くらいかこ,dark past,彼女は暗い過去を抱えている,She has a dark past.
政治に暗い,せいじにくらい,unfamiliar with politics,政治に暗い人も多い,Many people are unfamiliar with politics.
高い技術,たかいぎじゅつ,high technology,その企業は高い技術を持っている,The company possesses high technology.
関心が高い,かんしんがたかい,high interest,彼は科学に関心が高い,He has a high interest in science.
理想が高い,りそうがたかい,high ideals,彼女は理想が高い人物だ,She is a person with high ideals.
鼻が高い,はながたかい,proud,成功したプロジェクトで彼の鼻は高い,He is proud of the successful project.
プライドが高い,ぷらいどがたかい,high pride,彼はプライドが高い人だ,He is a person with high pride.
格式が高いホテル,きしきがたかいほてる,high-class hotel,彼らは格式が高いホテルに泊まった,They stayed at a high-class hotel.
ベルトがきつい,べるとがきつい,tight belt,ベルトがきついときつくて息苦しい,Tight belts can be uncomfortable and make it hard to breathe.
きついけいこ,きついけいこ,intense training,そのトレーニングはきついけいこだ,That training is an intense workout.
早起きはきつい,はやおきはきつい,early rising is tough,朝早く起きるのはきつい,It's tough to wake up early in the morning.
きつく注意する,きつくちゅういする,to give strict attention,仕事の際はきつく注意するべきだ,You should give strict attention to work matters.
日程はきつい,にっていはきつい,tight schedule,今週の日程はきつい,The schedule for this week is tight.
きつい性格,きついせいかく,strict personality,彼女はきつい性格だが、正直だ,She has a strict personality but she is honest.
ふたがきつくて,ふたがきつくて,tightly closed,ふたがきつくて開かない,The lid is tightly closed and won't open.
日差しがきつい,ひざしがきつい,intense sunlight,日差しがきついので帽子が必要だ,You need a hat because of the intense sunlight.
きつい酒,きついさけ,strong alcohol,彼はきつい酒が好きだ,He likes strong alcoholic drinks.
目つきがきつい,めつきがきつい,intense gaze,彼の目つきがきつい、何か考えているようだ,He has an intense gaze; it seems like he's thinking about something.

四日目
不可能,ふかのう,impossible,彼の夢は不可能ではない,His dream is not impossible.
不愉快,ふゆかい,unpleasant,彼の発言はみんなに不愉快だった,His remarks were unpleasant to everyone.
不必要,ふひつよう,unnecessary,これはもう不必要だ,This is already unnecessary.
不健康,ふけんこう,unhealthy,彼は不健康な生活を送っている,He leads an unhealthy lifestyle.
無差別,むさべつ,indiscriminate,無差別な攻撃が起きた,An indiscriminate attack occurred.
無関心,むかんしん,indifferent,彼は無関心な態度を見せた,He showed an indifferent attitude.
無関係,むかんけい,irrelevant,その話は全く無関係だ,That conversation is completely irrelevant.
無意識,むいしき,unconscious,彼女は無意識にその言葉を口にした,She unconsciously uttered those words.
非常識,ひじょうしき,unreasonable,彼の行動は非常識だ,His behavior is unreasonable.
非公開,ひこうかい,non-disclosure,その情報は非公開だ,The information is non-disclosure.
非科学的,ひかがくてき,unscientific,その理論は非科学的だ,That theory is unscientific.
非公式,ひこうしき,unofficial,彼は非公式のリーダーだ,He is the unofficial leader.
未完成,みかんせい,incomplete,プロジェクトはまだ未完成だ,The project is still incomplete.
未解決,みかいけつ,unsolved,事件は未解決のままだ,The case remains unsolved.
再出発,さいしゅっぱつ,restart,新しい計画のために再出発する,Restarting for a new plan.
再認識,さいにんしき,reconsideration,問題について再認識する必要がある,There is a need for reconsideration of the issue.
再生産,さいせいさん,reproduction,生態系において再生産が重要だ,Reproduction is crucial in the ecosystem.
再開発,さいかいはつ,redevelopment,その地域は再開発される予定だ,The area is scheduled for redevelopment.
超満員,ちょうまんいん,overcrowded,電車は超満員で辛かった,The train was overcrowded and uncomfortable.
超特急,ちょうとっきゅう,super express,超特急で東京に向かう,Heading to Tokyo on the super express.
超小型,ちょうこがた,ultra-compact,そのデバイスは超小型で便利だ,The device is ultra-compact and convenient.
超忙しい,ちょういそがしい,extremely busy,最近仕事が超忙しい,Work has been extremely busy lately.
高カロリー,たかかろりー,high calorie,この食品は高カロリーなので注意が必要だ,This food is high in calories so be careful.
高収入,こうしゅうにゅう,high income,彼は高収入の仕事に就いている,He has a high-income job.
高気圧,こうきあつ,high pressure,今日は高気圧で晴れている,Today is sunny due to high pressure.
名場面,めいばめん,famous scene,その映画には名場面が多い,The movie has many famous scenes.
名女優,めいじょゆう,famous actress,彼女は名女優として知られている,She is known as a famous actress.
高気圧,こうきあつ,high pressure,週末は高気圧が影響して天気が良い,The weekend has good weather due to high pressure.
名場面,めいばめん,famous scene,あのドラマには感動的な名場面があった,That drama had emotionally powerful famous scenes.
名女優,めいじょゆう,famous actress,彼女は名女優として数々の賞を受賞している,She has won numerous awards as a famous actress.
名演奏,めいえんそう,famous performance,その音楽会での名演奏は聴衆を引き込んだ,The famous performance at the concert captivated the audience.
全世界,ぜんせかい,whole world,彼の楽曲は全世界で愛されている,His music is loved all over the world.
全日本,ぜんにほん,all Japan,全日本選手権で彼は優勝した,He won the championship at the All Japan competition.
全学生,ぜんがくせい,all students,全学生にアンケート調査を行った,They conducted a survey for all students.
全責任,ぜんせきにん,full responsibility,問題の解決には全責任を持たなければならない,Full responsibility is necessary for solving the problem.
総人数,そうにんずう,total number of people,会議には総人数で50人が参加した,A total of 50 people participated in the meeting.
総収入,そうしゅうにゅう,total income,今年の総収入は昨年より増加した,This year's total income increased compared to last year.
各クラス,かくくらす,each class,各クラスから代表が選ばれる,Representatives are chosen from each class.
各家庭,かくかてい,each household,各家庭でエネルギーの節約が重要だ,Energy conservation is important in each household.
長持ち,ながもち,long-lasting,この製品は長持ちする性能があります,This product has long-lasting performance.
長生き,ながいき,long life,健康的な生活をすることで長生きできる,Living a healthy lifestyle can lead to a long life.
長話,ながばなし,long conversation,友達との長話は楽しい時間だ,Long conversations with friends are enjoyable times.
長電話,ながでんわ,long phone call,昨夜は彼との長電話を楽しんだ,I enjoyed a long phone call with him last night.
現社長,げんしゃちょう,current president,現社長は経営手腕が優れている,The current president has excellent management skills.
現代人,げんだいじん,modern person,現代人の生活は忙しい,The life of modern people is busy.
前社長,ぜんしゃちょう,former president,前社長の時代に多くの改革が行われた,Many reforms were implemented during the time of the former president.
前大臣,ぜんだいじん,former minister,前大臣は今後の政策に影響を与えるだろう,The former minister will likely influence future policies.
元社長,もとしゃちょう,former president,元社長が引退した後、新しい指導者が登場した,After the former president retired a new leader emerged.
元大臣,もとだいじん,former minister,元大臣が著書で政治の裏側を明かした,The former minister revealed the behind-the-scenes of politics in his book.
故田中社長,こたなかしゃちょう,late President Tanaka,故田中社長の功績は多くの人に称賛されている,The late President Tanaka's achievements are praised by many.
故田中大臣,こたなかだいじん,late Minister Tanaka,故田中大臣の死に際して多くの人が哀悼の意を示した,Many people expressed condolences upon the death of the late Minister Tanaka.
副社長,ふくしゃちょう,vice president,副社長は組織の運営に携わっている,The vice president is involved in the operation of the organization.
副大臣,ふくだいじん,vice minister,副大臣が新しい政策の立案に参加している,The vice minister is participating in the formulation of new policies.
副作用,ふくさよう,side effect,新しい薬には副作用がある可能性がある,The new medication may have potential side effects.

五日目


六日目
