一日目
思いやりがある,おもいやりがある,considerate,思いやりがある人,considerate person
すれ違う,すれちがう,to go by,自転車とすれ違う,go by a bicycle
這う,はう,to crawl,地面を這う,crawl on the ground
お辞儀,おじぎ,bow,お辞儀をする,to bow

四日目
悔しい,くやしい,regrettable,悔しい結果,regrettable result
悔やむ,くやむ,to regret,失敗を悔やむ,regret a failure
辛い,つらい,painful,辛い経験,painful experience
情けない,なさけない,miserable,情けない状態,miserable state
申し訳ない,もうしわけない,shameful,今日は遅れてきてしまって、申し訳ありません,Sorry I'm late today
残念,ざんねん,pity,残念な結果,pityful result
やむが得ない,やむがえない,unavoidable,この決定はやむを得ない,this decision is unavoidable
仕方がない,しかたがない,can't be helped,仕方がないので諦めるしかない,there is no choice but to give up
しょうがない,しょうがない,can't be helped,しょうがない,it can't be helped
疑問,ぎもん,question,疑問に思う,I doubt it
不思議,ふしぎ,strange,昨日の出来事は不思議だった,yesterday's event was strange
納得がいかない,なっとくがいかない,can't accept,なぜその決定が下されたのか納得がいかない,I can't accept why that decision was made
納得がいく,なっとくがいく,be satisfied,チーム全体がこの計画に納得がいく,the whole team is satisfied with this plan
飽きる,あきる,to get tired of,彼女の話には飽きた,I'm tired of her story
呆れる,あきる,to be amazed,彼の行動には呆れた,I was amazed at his action
諦める,あきらめる,to give up,彼は諦めた,he gave up
慌てる,あわてる,to panic,遅刻しそうで慌てて家を出た,I was about to be late so I left home in a hurry
焦る,あせる,to be in a hurry,時間がなくて焦っている,I'm in a hurry because I don't have much time
躊躇う,ためらう,to hesitate,大きな決断に躊躇うことがある,There are times when I hesitate in making big decisions
憧れる,あこがれる,to long for,彼の才能に憧れる,I long for his talent
落ち込む,おちこむ,to feel down,失敗して落ち込んでいる,I'm feeling down after a failure
恋しい,こいしい,missed,彼との思い出が恋しい,I miss the memories with him
懐かしい,なつかしい,nostalgic,懐かしい場所に訪れる,Visit a nostalgic place
ありがたい,ありがたい,grateful,助けてくれて本当にありがたい,I'm really grateful for your help
懐かしい,なつかしい,nostalgic,懐かしい友達と再会する,Reunite with nostalgic friends
ありがたい,ありがたい,grateful,親の支援には本当にありがたい, I'm truly grateful for my parents' support
みっともない,みっともない,shameful,恥ずかしい行動をしてみっともない,I did something shameful and embarrassing
馬鹿らしい,ばからしい,absurd,彼の言い訳は馬鹿らしい,His excuse is absurd
惜しい,おしい,regrettable,逃したチャンスが惜しい,It's regrettable that I missed the opportunity
憎い,にくい,dislike,彼の行動が憎い,I dislike his behavior
憎らしい,にくらしい,disagreeable,hateful,彼女の嘘は憎らしい,Her lies are hateful
面倒くさい,めんどうくさい,bothersome,この問題は面倒くさい,This problem is bothersome
面倒,めんどう,troublesome,彼の態度が面倒だ,His attitude is troublesome
夢中,むちゅう,engrossed,彼は仕事に夢中だ,He is engrossed in his work
退屈する,たいくつする,to get bored,何もすることがなくて退屈している,I'm bored with nothing to do
悩む,なやむ,to worry,将来のことで悩んでいる,I'm worried about the future
祈る,いのる,to pray,幸せを祈る,I pray for happiness
誓う,ちかう,to vow,永遠の愛を誓う,I vow eternal love
拝む,おがむ,to worship,神社でお参りして拝む,Worship and pray at the shrine

五日目
尊敬する,そんけいする,to respect,彼の行動には尊敬する,I respect his actions
偉い,えらい,admirable,偉い人になりたい,I want to become an admirable person
信用する,しんようする,to trust,彼の言葉を信用する,I trust his words
疑う,うたがう,to doubt,彼の言動に疑いを抱く,I doubt his words and actions
いじめる,いじめる,to bully,子供たちがいじめを受けている,The children are being bullied
やっつける,やっつける,to defeat,相手をやっつけて勝つ,Defeat the opponent and win
からかう,からかう,to tease,友達を優しくからかう,Tease a friend playfully
バカにする,ばかにする,to make fun of,人をバカにすることは良くない,Making fun of people is not good
貶す,けなす,to disparage,人を貶すような言動は避けるべきだ,One should avoid behaviors that disparage others
責める,せめる,to blame,失敗を責めずに次に進む,Move forward without blaming yourself for mistakes
脅かす,おどかす,to threaten,彼を脅かすような行動はやめなさい,Stop behaviors that threaten him
頼る,たよる,to rely on,困ったときに友達に頼る,Rely on friends when in trouble
頼りにする,たよりにする,to depend on,彼の助言を頼りにする,Depend on his advice
慰める,なぐさめる,to comfort,友達を慰めてあげてください,Please comfort your friend
許す,ゆるす,to forgive,過去の過ちを許すことは大切だ,Forgiving past mistakes is important
裏切る,うらぎる,to betray,信頼を裏切る行為は許されない,Betraying trust is unforgivable
騙す,だます,to deceive,人を騙すことは良くない,Deceiving people is not good
傷つける,きずつける,to hurt,言葉で相手を傷つけないように注意する,Be careful not to hurt others with your words
避ける,さける,to avoid,問題を避けずに解決する,Address problems instead of avoiding them
放っておく,ほうっておく,to leave alone,彼女を一人に放っておくべきだ,She should be left alone
任せる,まかせる,to entrust,プロジェクトを彼に任せる,Entrust the project to him
微笑む,ほほえむ,to smile,彼女の微笑みは素敵だ,Her smile is lovely
従う,したがう,to obey,ルールに従うことは重要だ,It is important to obey the rules
逆らう,さからう,to oppose,意見に逆らってディスカッションをする,Engage in a discussion by opposing opinions
詫びる,わびる,to apologize,遅れてきたことを詫びる,I apologize for being late
感謝する,かんしゃする,to express gratitude,助けてくれて感謝しています,I am grateful for your help
冗談,じょうだん,joke,彼の冗談はいつも面白い,His jokes are always funny
嫌味,いやみ,sarcasm,嫌味な言葉を使うべきではない,Using sarcastic words is not advisable
文句,もんく,complaint,仕事に文句を言わずに努力する,Put effort into work without complaining
嘘,うそ,lie,嘘は信頼を傷つける,Lies damage trust
嘘つき,うそつき,liar,嘘つきは信じられない,Liars are not to be trusted
黙る,だまる,to keep silent,議論が激しいときは黙って聞くことも大切だ,It's important to stay silent and listen during intense discussions
自慢する,じまんする,to boast,成功を自慢することは控えめにするべきだ,Boasting about success should be done modestly
威張る,いばる,to brag,成功を威張りすぎないようにする,Avoid bragging too much about success
ふざける,ふざける,to joke around,真面目な場面でふざけるべきではない,Joking around should be avoided in serious situations
真似,まね,imitation,彼の行動を真似する,Imitate his actions
悪口,わるくち,slander,他人の悪口を言うことはやめるべきだ,Avoid speaking ill of others
恵まれる,めぐまれる,to be blessed,幸せな状況に恵まれている,I am blessed with a happy situation
揉める,もめる,to have a dispute,プロジェクトで意見の不一致が揉めている,There is a dispute over opinions in the project
態度,たいど,attitude,態度が重要だ,Attitude is important
改める,あらためる,to change,自分の態度を改める,Change one's attitude
人のせいにする,ひとのせいにする,to blame others,失敗を人のせいにするのは良くない,It's not good to blame others for your own mistakes

六日目
医師,いし,doctor,医師の診察を受ける,see the doctor
診察,しんさつ,medical examination,医師の診察を受ける,see the doctor
健康診断,けんこうしんだん,medical checkup,健康診断を受ける,have a medical checkup
血圧,けつあつ,blood pressure,血圧が高い,have high blood pressure
症状,しょうじょう,symptom,病気の症状,symptoms of illness
治まる,おさまる,to subside,症状が治まる,condition improving
顔色,かおいろ,complexion,顔色が悪い,looks unwell
真っ青,まっさお,deep blue,顔色が真っ青だ,looks very pale
具合が悪い,ぐあいがわるい,to feel sick,体の具合が悪い,not feeling well
吐き気,はきけ,nausea,吐き気がする,feel nauseous
吐く,はく,to vomit,吐き気がして吐いた,feel nauseous and vomit
ぼうっとする,ぼうっとする,to feel dizzy,頭がぼうっとする,my head is not clear
熱中症,ねっちゅうしょう,heat stroke,熱中症になる,get heat stroke
熱がこもる,ねつがこもる,to have a fever,体に熱がこもる,have a fever
だるい,だるい,to feel sluggish,体がだるい,feel sluggish
肩,かた,shoulder,肩がこる,have stiff shoulders
こる,こる,to stiffen,肩がこる,have stiff shoulders
もむ,もむ,to massage,肩をもむ,massage the shoulders
ストレス,すとれす,stress,ストレスがたまる,feel stressed
痛み,いたみ,pain,痛みを感じる,feel pain
堪える,たえる,to endure,痛みを堪える,endure the pain
我慢する,がまんする,to endure,痛みを我慢する,endure the pain
耐える,たえる,to endure,痛みに耐える,endure the pain
肌,はだ,skin,肌が荒れる,have rough skin
荒れる,あれる,to become rough,肌が荒れる,have rough skin
艶,つや,smooth,肌の艶がいい,have smooth skin
かゆい,かゆい,to itch,体がかゆい,get itchy all over
かく,かく,to scratch,体がかゆいのでかく,scratch the body because it itches
湿疹,しっしん,rash,湿疹ができる,get a rash
アレルギー,あれるぎー,allergy,アレルギーがある,have an allergy
花粉症,かふんしょう,hay fever,花粉症で鼻が詰まる,get a stuffy nose from hay fever
鼻が詰まる,はながつまる,to have a stuffy nose,花粉症で鼻が詰まる,get a stuffy nose from hay fever
虫歯,むしば,cavity,虫歯になる,get a cavity
真っ白,まっしろ,pure white,歯が真っ白,white teeth
リハビリ,りはびり,rehabilitation,リハビリをする,do rehabilitation
傷口,きずぐち,wound,傷口がふさがる,wounds healing
塞がる,ふさがる,to be blocked,傷口が塞がる,wounds healing
手術,しゅじゅつ,surgery,手術を受ける,have surgery
傷跡,きずあと,scar,傷跡が残る,scars remain
レントゲン,れんとげん,x-ray,レントゲンを撮る,take an x-ray
がん,がん,cancer,がんで死亡する,die of cancer
死亡する,しぼうする,to die,がんで死亡する,die of cancer
